iter	RMSE
174	57787.84451
175	57758.91314
176	57737.3592
177	57715.12442
178	57685.51837
179	57667.96593
180	57646.74137
181	57634.37822
182	57614.87275
183	57599.23505
184	57587.07903
185	57564.86965
186	57546.52967
187	57540.18264
188	57527.70077
189	57514.62527
190	57487.78973
191	57483.9867
192	57467.82677
193	57440.34131
194	57432.51835
195	57412.60779
196	57406.71048
197	57397.71424
198	57374.74618
199	57357.6459
200	57340.04268
201	57330.46771
202	57315.06694
203	57307.69067
204	57299.57408
205	57274.97952
206	57257.88672
207	57246.09426
208	57228.26592
209	57215.01042
210	57203.05209
211	57191.67387
212	57186.70954
213	57169.62804
214	57155.95031
215	57148.67754
216	57130.71701
217	57124.70755
218	57112.02606
219	57101.09731
220	57084.14974
221	57077.37132
222	57061.86635
223	57046.41672
224	57035.30173
225	57026.18951
226	57009.85208
227	56993.22738
228	56981.20236
229	56963.00029
230	56955.71122
231	56947.58325
232	56943.41735
233	56916.02048
234	56898.54974
235	56886.82814
236	56869.49874
237	56862.5425
238	56847.9432
239	56834.89325
240	56826.71744
241	56816.02012
242	56803.38156
243	56799.62261
244	56792.22603
245	56777.40843
246	56746.60264
247	56736.14118
248	56723.25711
249	56715.2042
250	56693.0317
251	56682.69215
252	56670.78599
253	56663.65425
254	56646.36992
255	56630.865
256	56615.79944
257	56603.09672
258	56585.66735
259	56582.11297
260	56568.94031
261	56552.36982
262	56543.03213
263	56526.34399
264	56513.26194
265	56509.52408
266	56491.68837
267	56487.79247
268	56473.20751
269	56457.95846
270	56455.36604
271	56442.58964
272	56429.55285
273	56416.6319
274	56410.92361
275	56401.01458
276	56390.43533
277	56383.39067
278	56373.60306
279	56362.51758
280	56348.53883
281	56337.29945
282	56318.82733
283	56313.78003
284	56307.04937
285	56291.48564
286	56279.25275
287	56268.63206
288	56254.05909
289	56236.52022
290	56231.68988
291	56221.6168
292	56211.45736
293	56198.03766
294	56190.36719
295	56177.11209
296	56158.04334
297	56148.16956
298	56137.99263
299	56127.38041
300	56105.04525
301	56088.89757
302	56083.29922
303	56077.30714
304	56074.318
305	56053.41092
306	56043.7122
307	56040.697
308	56025.74685
309	56014.99832
310	56009.78594
311	55996.33732
312	55993.63821
313	55977.44579
314	55962.19155
315	55946.21891
316	55932.70151
317	55914.34274
318	55899.83326
319	55893.51743
320	55882.56473
321	55880.1437
322	55871.2882
323	55854.72679
324	55847.07994
325	55832.78161
326	55829.72873
327	55806.7483
328	55791.73398
329	55773.05086
330	55770.35327
331	55753.8643
332	55750.54501
333	55738.27259
334	55730.18451
335	55719.73129
336	55706.13026
337	55703.37908
338	55696.94952
339	55682.24618
340	55668.4358
341	55660.667
342	55656.13957
343	55650.66585
344	55648.75328
345	55645.54997
346	55635.44509
347	55620.90384
348	55607.43
349	55589.80144
350	55575.36142
351	55568.63767
352	55563.92531
353	55553.19699
354	55539.10113
355	55525.9242
356	55523.44649
357	55512.63959
358	55496.82359
359	55487.73842
360	55486.03254
361	55476.33965
362	55457.27957
363	55446.48263
364	55427.00036
365	55424.59317
366	55413.52859
367	55404.62838
368	55390.9547
369	55381.55921
370	55375.0008
371	55361.991
372	55352.01348
373	55339.60307
374	55325.03769
375	55320.12596
376	55313.50758
377	55300.99911
378	55292.64025
379	55283.11404
380	55277.20126
381	55268.77753
382	55253.9797
383	55249.88059
384	55243.08552
385	55224.44003
386	55205.91813
387	55193.0747
388	55181.78055
389	55162.95803
390	55149.30181
391	55134.86087
392	55125.83631
393	55114.20571
394	55105.4643
395	55090.52361
396	55080.50121
397	55070.58067
398	55058.48859
399	55050.48274
400	55040.05838
401	55036.26647
402	55029.76624
403	55018.90371
404	55010.20642
405	55002.32891
406	54988.11674
407	54974.13336
408	54960.71056
409	54953.66679
410	54937.84458
411	54926.60336
412	54925.36453
