iter	RMSE
186	50697.69159
187	50649.74476
188	50625.83554
189	50594.89762
190	50538.4577
191	50503.85794
192	50473.68151
193	50445.38035
194	50418.76025
195	50398.51633
196	50397.86668
197	50362.78058
198	50345.35022
199	50322.33119
200	50301.64552
201	50287.32942
202	50259.78636
203	50229.5633
204	50185.12582
205	50164.55741
206	50133.36705
207	50100.54168
208	50065.87484
209	50032.93565
210	50010.16989
211	49984.21337
212	49983.73815
213	49967.74755
214	49950.58341
215	49914.75736
216	49887.57115
217	49861.12101
218	49860.65289
219	49852.87417
220	49835.00371
221	49833.84771
222	49809.451
223	49788.94069
224	49780.83841
225	49772.38212
226	49728.60036
227	49701.81217
228	49676.83887
229	49667.90231
230	49667.52348
231	49641.63548
232	49622.5901
233	49602.00151
234	49583.95249
235	49559.95774
236	49530.9919
237	49503.64191
238	49490.41702
239	49471.90884
240	49464.35542
241	49463.50055
242	49440.73458
243	49411.58931
244	49411.18222
245	49406.68835
246	49383.78254
247	49368.43984
248	49350.10383
249	49338.32303
250	49322.22423
251	49321.82911
252	49288.20889
253	49255.07323
254	49241.86478
255	49230.14624
256	49214.42379
257	49188.31573
258	49176.04635
259	49157.76596
260	49131.21053
261	49130.85276
262	49094.04086
263	49083.86164
264	49055.07815
265	49020.25598
266	49008.5872
267	48997.85803
268	48960.18047
269	48936.99738
270	48920.92091
271	48904.98287
272	48885.0372
273	48868.32261
274	48845.60623
275	48845.21614
276	48826.6509
277	48800.72202
278	48775.36382
279	48774.98438
280	48755.91198
281	48731.02039
282	48709.87049
283	48690.16293
284	48667.11125
285	48646.16245
286	48645.795
287	48628.24943
288	48617.34867
289	48590.13599
290	48572.24487
291	48534.33536
292	48508.75576
293	48476.28108
294	48475.91098
295	48475.57692
296	48455.50104
297	48455.17205
298	48439.89521
299	48425.01455
300	48424.69423
301	48410.99272
302	48393.19242
303	48383.11028
304	48372.37673
305	48372.08632
306	48356.63909
307	48347.98071
308	48336.16093
309	48324.47357
310	48300.27939
311	48277.23087
312	48276.93931
313	48253.96326
314	48249.39941
315	48249.11736
316	48248.84817
317	48248.59248
318	48237.18201
319	48222.14097
320	48205.14367
321	48183.73332
322	48166.12236
323	48157.43855
324	48129.90913
325	48108.45301
326	48090.81556
327	48083.14518
328	48078.77442
329	48064.88266
330	48049.07414
331	48036.14069
332	48035.89226
333	48035.65434
334	48023.87799
335	48016.93087
336	47997.73341
337	47996.92386
338	47972.22662
339	47967.61937
340	47957.33943
341	47957.10791
342	47946.77709
343	47923.564
344	47899.26461
345	47889.77235
346	47883.11129
347	47882.8874
348	47870.27735
349	47863.44936
350	47847.72155
351	47818.60782
352	47810.64748
353	47803.71442
354	47782.2762
355	47768.023
356	47749.57449
357	47749.34241
358	47749.12507
359	47711.17624
360	47705.47294
361	47676.19778
362	47673.51394
363	47672.82354
364	47649.02835
365	47633.74622
366	47618.81124
367	47603.42871
368	47589.10625
369	47575.17601
370	47562.97999
371	47550.75641
372	47529.84324
373	47511.01014
374	47503.83498
375	47503.2919
376	47502.79906
377	47488.89902
378	47482.0969
379	47469.96251
380	47453.00561
381	47452.78156
382	47452.10078
383	47439.98492
384	47429.34488
385	47400.95525
386	47400.33499
387	47400.14658
388	47386.51374
389	47385.91736
390	47385.73936
391	47365.46543
392	47355.12276
393	47347.9367
394	47336.94096
395	47326.62549
396	47326.2066
397	47309.43693
398	47298.63656
399	47290.26521
400	47282.54086
401	47282.31477
402	47267.53318
403	47263.49857
404	47261.66303
405	47261.11063
406	47245.88579
407	47240.46639
408	47228.86081
409	47215.70437
410	47203.20466
411	47200.07005
412	47191.39769
413	47191.21462
414	47179.25446
415	47155.95385
416	47137.81008
417	47111.64437
418	47091.45132
419	47083.17462
420	47074.69062
421	47061.74921
422	47041.12808
423	47017.45604
424	47006.25625
425	46991.6602
426	46988.06114
427	46987.54476
428	46979.67719
429	46974.30941
430	46959.33665
431	46947.29288
432	46936.80833
433	46914.70554
434	46907.10995
435	46906.61906
436	46889.45873
437	46884.81183
438	46884.57286
439	46874.14656
440	46873.58184
441	46868.80263
442	46853.05417
443	46840.99946
444	46836.94116
445	46832.23942
446	46828.44279
447	46818.7792
448	46818.38482
449	46813.3655
450	46802.78861
451	46798.53456
452	46785.45187
453	46762.25686
454	46746.34625
455	46745.97958
456	46736.83397
457	46721.64919
458	46703.35301
459	46702.16478
460	46696.56745
461	46694.1726
462	46688.23922
463	46676.12704
464	46660.58224
465	46653.71391
466	46642.7505
467	46625.93321
468	46611.48081
469	46601.15303
470	46600.54325
471	46600.22001
472	46594.0292
473	46583.72065
474	46583.46394
475	46574.79441
476	46571.22418
477	46568.2675
478	46567.94607
479	46556.54164
480	46546.18512
481	46532.23186
482	46528.51141
483	46528.2783
484	46520.45803
485	46515.93743
486	46507.55883
487	46487.72242
488	46486.6227
489	46471.46248
490	46471.19182
491	46456.62096
492	46447.12213
493	46444.94048
494	46427.59737
495	46409.92987
496	46383.24591
