name,perf,kfold_perf,params,timestamp
XGBRegressor,,,"{'max_depth': 16, 'max_bin': 286, 'learning_rate': 0.33252828181108585, 'n_estimators': 419, 'subsample': 0.8024604795775305, 'colsample_bytree': 0.8584778876175422, 'gamma': 3.6389546326990256, 'min_child_weight': 5, 'lambda': 2.971501270758925, 'alpha': 2.429506388912289, 'enable_categorical': True}",2024-11-14 16:40:48
CatBoostRegressor,,,"{'iterations': 475, 'depth': 7, 'learning_rate': 0.10790914795996023, 'l2_leaf_reg': 6.844275608100268, 'bagging_temperature': 0.7913072664360203, 'verbose': False}",2024-11-14 16:40:48
